sub	session	condition	accuracy	RT
sub-5004	5	S_C	0.9583333333333333	1.7386439393939392
sub-5004	5	S_H	0.625	1.1950909090909092
sub-5004	5	S_L	0.625	1.1575333333333333
sub-5004	5	S_U	0.20833333333333331	1.3091083333333333
sub-5004	7	S_C	1.0	1.9354583333333335
sub-5004	7	S_H	1.0	1.0535833333333333
sub-5004	7	S_L	0.875	1.169
sub-5004	7	S_U	0.875	1.4172083333333334
sub-5008	5	S_C	1.0	1.4162916666666665
sub-5008	5	S_H	1.0	1.1804999999999999
sub-5008	5	S_L	0.9583333333333333	1.4692083333333332
sub-5008	5	S_U	0.8333333333333333	1.3798333333333335
sub-5008	7	S_C	0.9583333333333333	1.9695227272727274
sub-5008	7	S_H	0.875	1.2515606060606062
sub-5008	7	S_L	0.8333333333333334	1.601007575757576
sub-5008	7	S_U	0.875	1.5101363636363636
sub-5009	5	S_C	0.9166666666666667	1.626375
sub-5009	5	S_H	0.9583333333333333	1.521034090909091
sub-5009	5	S_L	0.9166666666666667	1.4953583333333333
sub-5009	5	S_U	0.5416666666666667	1.666651515151515
sub-5009	7	S_C	0.9583333333333333	1.7246666666666668
sub-5009	7	S_H	0.875	1.5213166666666667
sub-5009	7	S_L	0.7916666666666667	1.640861111111111
sub-5009	7	S_U	0.75	1.6371565656565656
sub-5010	5	S_C	0.9166666666666667	1.5467083333333336
sub-5010	5	S_H	0.8333333333333334	1.1775833333333332
sub-5010	5	S_L	0.6666666666666667	1.2161666666666666
sub-5010	5	S_U	0.75	1.235625
sub-5010	7	S_C	0.9583333333333333	1.0875416666666666
sub-5010	7	S_H	0.8333333333333334	1.2397272727272728
sub-5010	7	S_L	0.7083333333333333	1.3273030303030304
sub-5010	7	S_U	0.625	1.2392992424242424
sub-5015	5	S_C	0.75	2.1271500000000003
sub-5015	5	S_H	0.625	1.5365863636363635
sub-5015	5	S_L	0.5416666666666667	1.6133863636363637
sub-5015	5	S_U	0.5833333333333334	1.711325
sub-5015	7	S_C	0.9166666666666667	1.5026704545454546
sub-5015	7	S_H	0.9166666666666667	1.17775
sub-5015	7	S_L	0.8333333333333333	1.2835
sub-5015	7	S_U	0.7916666666666667	1.3736818181818182
sub-5023	5	S_C	0.875	2.501011363636364
sub-5023	5	S_H	0.7916666666666667	1.7426590909090909
sub-5023	5	S_L	0.5833333333333333	1.7850388888888888
sub-5023	5	S_U	0.625	1.6606416666666668
sub-5023	7	S_C	1.0	2.0892916666666665
sub-5023	7	S_H	0.8333333333333333	1.3195208333333333
sub-5023	7	S_L	0.9166666666666666	1.4627916666666667
sub-5023	7	S_U	0.8333333333333334	1.6281227272727272
sub-5024	5	S_C	0.875	1.6192727272727272
sub-5024	5	S_H	0.6666666666666666	2.2827111111111114
sub-5024	5	S_L	0.5416666666666667	2.2188499999999998
sub-5024	5	S_U	0.625	2.3025555555555557
sub-5024	7	S_C	0.9583333333333333	1.295
sub-5024	7	S_H	0.9166666666666666	1.166969696969697
sub-5024	7	S_L	0.875	1.3690833333333332
sub-5024	7	S_U	0.8333333333333334	1.4359545454545455
sub-5025	5	S_C	0.7916666666666666	2.2904545454545455
sub-5025	5	S_H	0.8333333333333333	1.2548636363636363
sub-5025	5	S_L	0.8333333333333333	1.3550833333333334
sub-5025	5	S_U	0.7083333333333333	1.2927689393939394
sub-5025	7	S_C	1.0	1.7764583333333335
sub-5025	7	S_H	0.9166666666666666	1.2527310606060607
sub-5025	7	S_L	0.9166666666666666	1.306
sub-5025	7	S_U	0.9583333333333333	1.3771666666666667
sub-5029	5	S_C	0.9583333333333333	1.8270416666666667
sub-5029	5	S_H	0.9166666666666666	1.625181818181818
sub-5029	5	S_L	0.6666666666666667	1.5755
sub-5029	5	S_U	0.8333333333333333	1.3356181818181818
sub-5029	7	S_C	0.9166666666666667	0.8027916666666668
sub-5029	7	S_H	0.9583333333333333	1.0633598484848483
sub-5029	7	S_L	0.9583333333333333	1.280875
sub-5029	7	S_U	0.7916666666666667	1.4221666666666666
sub-5034	5	S_C	0.875	1.7514166666666666
sub-5034	5	S_H	0.875	1.5211060606060607
sub-5034	5	S_L	0.6666666666666666	1.49425
sub-5034	5	S_U	0.5416666666666667	1.7014305555555558
sub-5034	7	S_C	1.0	0.8825833333333333
sub-5034	7	S_H	0.9166666666666667	1.1962083333333333
sub-5034	7	S_L	1.0	1.2165
sub-5034	7	S_U	0.9583333333333333	1.3940416666666666
sub-5045	5	S_C	1.0	0.9035416666666667
sub-5045	5	S_H	0.7916666666666666	1.4606363636363635
sub-5045	5	S_L	0.75	1.5380416666666665
sub-5045	5	S_U	0.8333333333333333	1.398943181818182
sub-5045	7	S_C	0.9166666666666666	0.7328333333333333
sub-5045	7	S_H	1.0	1.2684166666666665
sub-5045	7	S_L	0.875	1.3785500000000002
sub-5045	7	S_U	0.875	1.3908333333333334
sub-5054	5	S_C	0.9583333333333333	1.5997083333333333
sub-5054	5	S_H	0.8333333333333333	1.6476458333333333
sub-5054	5	S_L	0.875	1.7624053030303028
sub-5054	5	S_U	0.875	1.6194305555555557
sub-5054	7	S_C	1.0	1.4535416666666667
sub-5054	7	S_H	0.8333333333333333	1.2807272727272727
sub-5054	7	S_L	0.9166666666666667	1.1832083333333334
sub-5054	7	S_U	0.8333333333333333	1.3026666666666666
sub-5055	5	S_C	0.9166666666666666	1.3385
sub-5055	5	S_H	0.8333333333333333	1.405527777777778
sub-5055	5	S_L	0.7916666666666667	1.5572613636363637
sub-5055	5	S_U	0.9583333333333333	1.5709886363636363
sub-5055	7	S_C	1.0	0.8257916666666667
sub-5055	7	S_H	1.0	1.1888333333333332
sub-5055	7	S_L	0.9583333333333333	1.331
sub-5055	7	S_U	1.0	1.260875
sub-5058	5	S_C	0.875	1.0612500000000002
sub-5058	5	S_H	0.8333333333333333	1.5299416666666668
sub-5058	5	S_L	0.875	1.5113409090909093
sub-5058	5	S_U	0.75	1.5218080808080807
sub-5058	7	S_C	1.0	0.8467083333333334
sub-5058	7	S_H	0.9166666666666666	1.180242424242424
sub-5058	7	S_L	0.875	1.2876818181818181
sub-5058	7	S_U	0.875	1.3389507575757578
sub-5070	5	S_C	0.7916666666666667	2.5522916666666666
sub-5070	5	S_H	0.75	1.4628999999999999
sub-5070	5	S_L	0.5833333333333333	1.621
sub-5070	5	S_U	0.6666666666666667	1.5749166666666667
sub-5070	7	S_C	1.0	2.0741666666666667
sub-5070	7	S_H	0.9166666666666667	1.0389166666666667
sub-5070	7	S_L	0.875	1.204125
sub-5070	7	S_U	0.8333333333333333	1.2462272727272727
sub-5074	5	S_C	1.0	1.2781666666666667
sub-5074	5	S_H	0.8333333333333333	1.5949810606060608
sub-5074	5	S_L	0.75	1.5218818181818183
sub-5074	5	S_U	0.625	1.4807000000000001
sub-5074	7	S_C	0.9583333333333333	1.282719696969697
sub-5074	7	S_H	0.875	1.3511954545454545
sub-5074	7	S_L	0.875	1.3649583333333335
sub-5074	7	S_U	1.0	1.2221250000000001
sub-5075	5	S_C	1.0	1.0579166666666666
sub-5075	5	S_H	0.7916666666666666	1.6810416666666668
sub-5075	5	S_L	0.8333333333333333	1.6681916666666667
sub-5075	5	S_U	0.45833333333333337	1.8793625
sub-5075	7	S_C	0.9583333333333333	1.8798333333333335
sub-5075	7	S_H	0.875	1.4068674242424242
sub-5075	7	S_L	0.9166666666666666	1.438030303030303
